run,trial,benchmark,n,phase,region,gate_passed,gate_stage,self_annotated,pragmas,replay,applied_on,source_changed,pragmas_added,verify_size,oracle_outcome,caught_by,verify_s
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix/full,calib/prefix,2,A,1:45,False,correctness,True,2,verified,original,True,2,SMALL,parallel-speed-not-measurable,,3.3
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix/full,calib/prefix,3,A,1:45,True,accepted,True,1,verified,original,True,1,SMALL,parallel-speed-not-measurable,,3.3
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/dp_annotates,calib/prefix,0,A,1:52,False,correctness,False,0,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/dp_annotates,calib/prefix,1,A,1:45,False,correctness,False,0,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/dp_annotates,calib/prefix,2,B,1:48,False,tsan,,0,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/dp_recon,calib/prefix,0,A,1:52,False,correctness,False,0,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/dp_recon,calib/prefix,1,A,1:45,False,correctness,False,0,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/dp_recon,calib/prefix,2,B,1:48,False,tsan,,0,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/full_depth1,calib/prefix,0,A,1:52,False,correctness,True,2,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/full_depth1,calib/prefix,1,A,1:45,False,correctness,True,2,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/full_depth1,calib/prefix,2,B,1:48,False,tsan,,0,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/no_evidence_b1,calib/prefix,0,A,1:52,False,schedules,True,2,verified,original,True,2,SMALL,VERIFY_FAILED,status:final_run_failed_T4,3.4
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/no_evidence_b1,calib/prefix,1,A,1:45,True,accepted,True,1,verified,original,True,1,SMALL,parallel-speed-not-measurable,,3.3
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/no_hotspots,calib/prefix,0,A,1:52,False,correctness,True,2,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/no_hotspots,calib/prefix,1,A,1:45,False,correctness,True,2,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/no_hotspots,calib/prefix,2,B,1:48,False,tsan,,0,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/speed_gate,calib/prefix,0,A,1:52,False,correctness,True,2,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/speed_gate,calib/prefix,1,A,1:45,False,correctness,True,2,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix2/speed_gate,calib/prefix,2,B,1:48,False,tsan,,0,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_privtemp/dp_annotates,calib/privtemp,0,A,1:48,True,accepted,False,0,verified,original,True,0,SMALL,changed-not-parallel,,3.2
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_privtemp/dp_annotates,calib/privtemp,1,B,1:48,True,accepted,,0,verified,original + earlier accepted,True,1,SMALL,parallel-speed-not-measurable,,3.4
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_privtemp/dp_recon,calib/privtemp,0,A,1:48,True,accepted,False,0,verified,original,True,0,SMALL,changed-not-parallel,,3.4
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_privtemp/dp_recon,calib/privtemp,1,A,1:48,True,accepted,False,0,verified,original alone (chain did not apply),True,0,SMALL,changed-not-parallel,,3.2
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_privtemp/dp_recon,calib/privtemp,2,B,1:48,True,accepted,,0,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_privtemp/full_depth1,calib/privtemp,0,A,1:48,True,accepted,True,1,verified,original,True,1,SMALL,parallel-speed-not-measurable,,3.3
integrity_smoke_local,integrity_smoke_local/benchmarks/calib/vecsum/discopop_gate/none/rep1,calib/vecsum,0,B,1:61,True,accepted,,0,verified,original,True,1,SMALL,parallel-speed-not-measurable,,3.6
integrity_smoke_local,integrity_smoke_local/benchmarks/calib/vecsum/discopop_gate/none/rep2,calib/vecsum,0,B,1:61,True,accepted,,0,verified,original,True,1,SMALL,parallel-speed-not-measurable,,3.5
integrity_smoke_local,integrity_smoke_local/benchmarks/calib/vecsum_proj/discopop_gate/none/rep1,calib/vecsum_proj,0,B,1:6,True,accepted,,0,verified,original,True,1,SMALL,parallel-speed-not-measurable,,4.5
integrity_smoke_local,integrity_smoke_local/benchmarks/calib/vecsum_proj/discopop_gate/none/rep2,calib/vecsum_proj,0,B,1:6,True,accepted,,0,verified,original,True,1,SMALL,parallel-speed-not-measurable,,4.5
local_obs1,local_obs1/benchmarks/polybench/2mm/full/claude-haiku-4-5-20251001/rep1,polybench/2mm,0,A,1:16,False,compile,True,2,no program (rejected before a build),,,,,,,
local_obs1,local_obs1/benchmarks/polybench/2mm/full/claude-haiku-4-5-20251001/rep1,polybench/2mm,1,A,1:16,False,tsan,True,2,verified,original,True,2,STANDARD,VERIFY_FAILED,status:final_run_failed_T4,58.8
local_obs1,local_obs1/benchmarks/polybench/2mm/full/claude-haiku-4-5-20251001/rep1,polybench/2mm,2,A,1:16,False,clause,True,2,no program (rejected before a build),,,,,,,
local_obs1,local_obs1/benchmarks/polybench/2mm/full/claude-haiku-4-5-20251001/rep1,polybench/2mm,3,A,1:16,True,accepted,True,2,verified,original,True,2,STANDARD,FASTER,,52.0
local_obs1,local_obs1/benchmarks/polybench/jacobi-2d-imper/full/claude-haiku-4-5-20251001/rep1,polybench/jacobi-2d-imper,0,A,1:16,False,clause,True,2,no program (rejected before a build),,,,,,,
local_obs1,local_obs1/benchmarks/polybench/jacobi-2d-imper/full/claude-haiku-4-5-20251001/rep1,polybench/jacobi-2d-imper,1,A,1:16,False,compile,True,2,no program (rejected before a build),,,,,,,
local_obs1,local_obs1/benchmarks/polybench/jacobi-2d-imper/full/claude-haiku-4-5-20251001/rep1,polybench/jacobi-2d-imper,2,A,1:16,True,accepted,True,2,verified,original,True,2,EXTRALARGE,parallel-not-faster,,39.3
local_obs1,local_obs1/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,0,A,1:16,True,accepted,True,1,verified,original,True,1,EXTRALARGE,parallel-not-faster,,146.8
local_obs1,local_obs1/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,1,A,1:74,False,tsan,True,1,verified,original + earlier accepted,True,2,EXTRALARGE,BROKEN,dump_seeded digest_seeded,117.9
local_obs1,local_obs1/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,2,A,1:74,False,correctness,True,1,verified,original + earlier accepted,True,2,EXTRALARGE,VERIFY_FAILED,status:final_run_failed_T4,55.3
local_obs1,local_obs1/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,3,A,1:74,False,correctness,True,1,verified,original + earlier accepted,True,2,EXTRALARGE,VERIFY_FAILED,status:final_run_failed_T4,57.5
pilot2,pilot2/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,0,A,1:16,False,correctness,True,2,verified,original,True,2,EXTRALARGE,BROKEN,dump_seeded digest_seeded,141.1
pilot2,pilot2/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,1,A,1:16,True,accepted,True,1,verified,original,True,1,EXTRALARGE,parallel-not-faster,,133.0
pilot2,pilot2/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,2,A,1:74,False,tsan,True,2,verified,original + earlier accepted,True,3,EXTRALARGE,BROKEN,dump_seeded digest_seeded,94.2
pilot2,pilot2/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,3,A,1:74,False,clause,True,2,no program (rejected before a build),,,,,,,
pilot2,pilot2/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,4,A,1:74,False,correctness,True,2,verified,original + earlier accepted,True,3,EXTRALARGE,BROKEN,dump_seeded digest_seeded,93.1
pilot2,pilot2/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,5,A,1:85,False,clause,True,2,no program (rejected before a build),,,,,,,
pilot2,pilot2/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,6,A,1:85,False,tsan,True,2,verified,original + earlier accepted,True,3,EXTRALARGE,BROKEN,dump_seeded digest_seeded,85.3
pilot2,pilot2/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,7,A,1:85,False,correctness,True,2,verified,original + earlier accepted,True,3,EXTRALARGE,BROKEN,dump_seeded digest_seeded,88.0
pilot2,pilot2/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,8,B,1:77,False,tsan,,0,verified,original + earlier accepted,True,2,EXTRALARGE,BROKEN,dump_seeded digest_seeded,84.8
pilot2,pilot2/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,9,B,1:80,False,tsan,,0,verified,original + earlier accepted,True,2,EXTRALARGE,BROKEN,dump_seeded digest_seeded,84.1
pilot2,pilot2/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,10,B,1:83,False,correctness,,0,verified,original + earlier accepted,True,2,EXTRALARGE,BROKEN,dump_seeded digest_seeded,85.4
pilot2,pilot2/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,11,B,1:30,False,correctness,,0,verified,original + earlier accepted,True,2,EXTRALARGE,BROKEN,dump_seeded digest_seeded,131.9
pilot2,pilot2/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,12,B,1:36,False,correctness,,0,verified,original + earlier accepted,True,2,EXTRALARGE,BROKEN,dump_seeded digest_seeded,133.8
pilot_seidel,pilot_seidel/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,0,B,1:72,False,tsan,,0,verified,original,True,1,EXTRALARGE,BROKEN,dump_seeded digest_seeded,94.9
pilot_seidel,pilot_seidel/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,1,B,1:75,False,tsan,,0,verified,original,True,1,EXTRALARGE,BROKEN,dump_seeded digest_seeded,88.2
pilot_seidel,pilot_seidel/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,2,B,1:78,False,correctness,,0,verified,original,True,1,EXTRALARGE,BROKEN,dump_seeded digest_seeded,84.3
pilot_seidel,pilot_seidel/benchmarks/polybench/seidel-2d/full/claude-haiku-4-5-20251001/rep1,polybench/seidel-2d,3,B,1:29,False,openmp_compile,,0,no program (rejected before a build),,,,,,,
pkg_smoke_local,pkg_smoke_local/benchmarks/npb/is/discopop_gate/none/rep1,npb/is,0,B,1:97,False,clause,,0,no program (rejected before a build),,,,,,,
pkg_smoke_local,pkg_smoke_local/benchmarks/npb/is/discopop_gate/none/rep1,npb/is,1,B,1:33,False,tsan,,0,verified,original,True,1,LARGE,VERIFY_FAILED,status:final_run_failed_T4,30.6
pkg_smoke_local,pkg_smoke_local/benchmarks/npb/is/discopop_gate/none/rep1,npb/is,2,B,1:197,False,clause,,0,no program (rejected before a build),,,,,,,
pkg_smoke_local,pkg_smoke_local/benchmarks/npb/is/discopop_gate/none/rep1,npb/is,3,B,1:210,False,clause,,0,no program (rejected before a build),,,,,,,
pkg_smoke_local,pkg_smoke_local/benchmarks/polybench/2mm/discopop_gate/none/rep1,polybench/2mm,0,B,1:146,True,accepted,,0,verified,original,True,1,STANDARD,FASTER,,64.8
pkg_smoke_local,pkg_smoke_local/benchmarks/polybench/2mm/discopop_gate/none/rep1,polybench/2mm,1,B,1:166,True,accepted,,0,verified,original + earlier accepted,True,2,STANDARD,FASTER,,58.6
proj_smoke_local,proj_smoke_local/benchmarks/calib/privtemp_proj/discopop_gate/none/rep1,calib/privtemp_proj,0,B,1:3,False,tsan,,0,verified,original,True,1,SMALL,parallel-speed-not-measurable,,5.7
proj_smoke_local,proj_smoke_local/benchmarks/calib/privtemp_proj/discopop_gate/none/rep1,calib/privtemp_proj,1,B,1:6,True,accepted,,0,verified,original,True,1,SMALL,parallel-speed-not-measurable,,4.5
proj_smoke_local,proj_smoke_local/benchmarks/calib/vecsum_proj/discopop_gate/none/rep1,calib/vecsum_proj,0,B,1:3,False,tsan,,0,verified,original,True,1,SMALL,parallel-speed-not-measurable,,5.1
proj_smoke_local,proj_smoke_local/benchmarks/calib/vecsum_proj/discopop_gate/none/rep1,calib/vecsum_proj,1,B,1:6,True,accepted,,0,verified,original,True,1,SMALL,parallel-speed-not-measurable,,4.8
